X,Y,TimeStamp(tracker),MilliSecTimer(system),ArrangedTime
2300.004509,998.5659228,61485994.26,426160.1556,39848.1556
2285.002202,1035.801397,61486024.02,426190.0666,39878.0666
2291.399597,1070.294941,61486054.53,426220.4346,39908.4346
2309.764106,1080.724733,61486084.32,426250.2178,39938.2178
2308.868568,1082.904072,61486114.69,426280.5292,39968.5292
2307.622873,1097.020913,61486146.15,426315.303,40003.303
2301.378471,1104.396172,61486175.53,426342.3029,40030.3029
2299.733177,1107.5046,61486205.82,426371.6564,40059.6564
2293.903153,1108.214612,61486236.02,426402.9673,40090.9673
2290.640781,1104.124538,61486265.76,426431.9827,40119.9827
2270.911929,1101.813323,61486296.13,426462.4528,40150.4528
2274.837518,1095.452656,61486326.32,426493.2121,40181.2121
2281.511847,1091.496375,61486356.72,426522.7875,40210.7875
2290.404948,1079.126788,61486386.86,426552.7975,40240.7975
2282.466268,1086.855097,61486416.74,426583.1764,40271.1764
2273.484744,1088.2624,61486447.14,426614.4287,40302.4287
2262.338638,1090.878371,61486477.38,426643.1584,40331.1584
2256.234339,1092.111934,61486507.74,426674.225,40362.225
2257.703394,1094.199894,61486537.91,426703.7667,40391.7667
2259.715657,1098.555829,61486568,426734.6425,40422.6425
2259.398872,1094.309355,61486598.29,426764.7024,40452.7024
2257.299736,1103.296337,61486628.12,426794.0686,40482.0686
2260.001737,1108.763176,61486658.75,426824.7835,40512.7835
2256.22356,1105.94694,61486688.77,426856.0849,40544.0849
2260.141985,1124.988752,61486718.62,426884.31,40572.31
2258.977933,1120.632848,61486749.23,426915.7057,40603.7057
2260.87621,1114.359432,61486779.36,426945.4651,40633.4651
2260.399077,1091.774436,61486810.01,426976.5684,40664.5684
2261.707556,1095.590055,61486839.39,427005.1209,40693.1209
2266.236607,1083.983102,61486869.85,427035.6268,40723.6268
2267.038256,1072.513692,61486900.11,427065.819,40753.819
2263.128695,1083.680558,61486930.5,427096.392,40784.392
2258.256866,1078.00317,61486960.4,427127.5452,40815.5452
2260.25677,1078.223972,61486990.92,427156.8876,40844.8876
2260.776959,1069.444326,61487020.55,427186.4069,40874.4069
2269.841172,1043.392857,61487051.17,427217.4099,40905.4099
2269.058805,1055.07347,61487080.98,427247.4039,40935.4039
2257.749343,1070.366597,61487111.48,427277.2768,40965.2768
2278.721165,1075.912609,61487141.43,427308.9336,40996.9336
2279.165139,1093.605867,61487172.02,427338.2086,41026.2086
2285.252373,1079.226381,61487202.27,427368.3147,41056.3147
2290.574664,1089.868383,61487232.62,427399.2281,41087.2281
2274.910375,1087.605538,61487262.6,427428.3868,41116.3868
2283.250696,1074.953054,61487292.58,427459.0801,41147.0801
2274.769264,1079.802969,61487323.02,427488.8108,41176.8108
2274.500838,1074.92813,61487353.14,427519.6733,41207.6733
2270.945017,1071.518378,61487383.25,427549.2741,41237.2741
2268.92127,1057.993006,61487413.64,427579.6039,41267.6039
2264.65515,1059.522143,61487443.75,427609.6637,41297.6637
2259.873091,1063.643674,61487473.93,427639.6814,41327.6814
2268.277446,1066.976163,61487504.39,427670.2592,41358.2592
2269.82398,1059.902891,61487534.78,427701.7381,41389.7381
2276.10779,1074.305672,61487564.92,427730.8493,41418.8493
2280.736553,1072.982593,61487595.46,427761.2239,41449.2239
2269.271399,1086.376972,61487625.04,427791.5697,41479.5697
2262.363139,1101.878483,61487655.36,427821.1393,41509.1393
2263.501949,1097.607579,61487685.78,427851.8235,41539.8235
2266.98399,1084.48249,61487715.96,427881.9831,41569.9831
2276.61413,1076.131624,61487746.08,427912.0935,41600.0935
2226.196561,1073.696306,61487776.36,427942.1005,41630.1005
2096.254121,1081.211675,61487806.77,427973.2064,41661.2064
2063.693192,1080.53783,61487836.87,428005.7499,41693.7499
2058.16064,1067.914446,61487866.88,428032.6882,41720.6882
2057.461402,1064.573122,61487897.21,428063.4455,41751.4455
2040.096967,1060.085256,61487927.51,428093.6328,41781.6328
2043.526408,1071.345252,61487957.82,428123.7674,41811.7674
2053.991854,1077.509159,61487987.35,428153.4153,41841.4153
2052.206521,1076.879817,61488017.6,428183.7848,41871.7848
2082.523205,1071.686037,61488047.77,428213.9968,41901.9968
2246.449183,1069.7593,61488078.61,428244.4015,41932.4015
2268.841909,1086.033673,61488108.85,428274.9454,41962.9454
2273.479398,1100.474819,61488139.27,428305.9919,41993.9919
2253.594114,1098.113738,61488169.2,428336.3916,42024.3916
2252.186207,1087.002592,61488199.88,428367.4488,42055.4488
2251.232394,1089.581607,61488229.49,428396.7827,42084.7827
2257.64239,1087.652847,61488259.74,428425.7787,42113.7787
2254.777922,1082.123485,61488289.89,428456.0478,42144.0478
2251.352059,1067.919335,61488319.93,428486.2647,42174.2647
2247.239949,1063.757412,61488350.23,428516.2693,42204.2693
2113.113721,1109.357129,61488380.01,428546.4882,42234.4882
2083.214707,1097.750928,61488410.92,428576.6443,42264.6443
2079.090343,1098.281854,61488441.08,428606.9145,42294.9145
2060.705799,1094.200362,61488471.54,428637.5539,42325.5539
2060.732765,1091.901686,61488501.68,428668.6209,42356.6209
2063.114072,1092.411633,61488531.61,428697.3869,42385.3869
2062.854215,1093.255756,61488561.85,428728.2585,42416.2585
2075.909103,1104.692382,61488591.81,428758.0386,42446.0386
2151.194155,1114.527344,61488621.94,428787.8943,42475.8943
2218.380595,1115.282447,61488652.41,428820.1687,42508.1687
2327.386013,1097.514342,61488682.65,428848.7666,42536.7666
2330.133652,1105.720146,61488712.68,428878.7133,42566.7133
2330.605099,1111.100276,61488742.8,428908.609,42596.609
2335.208762,1118.391362,61488773.28,428938.9469,42626.9469
